시간,종목코드,종목명,체결가,수익률(%)
2025-05-28 15:59:41,009415,태영건설우,-5670,0.0
2025-05-28 16:39:32,009415,태영건설우,-5670,-123.14285714285715
2025-05-28 18:07:51,005930,삼성전자,55900,0.00%
2025-05-28 18:07:52,000660,SK하이닉스,0,0.00%
2025-05-28 18:14:50,005930,삼성전자,55900,0.00%
2025-05-28 18:14:52,000660,SK하이닉스,0,0.00%
2025-05-28 18:28:27,005930,삼성전자,55900,0.00%
2025-05-28 18:48:31,005930,삼성전자,55900,0.00%
2025-05-28 22:27:18,005930,삼성전자,55900,0.00%
2025-05-28 22:45:57,005930,삼성전자,55900,0.00%
2025-05-28 23:00:11,005930,삼성전자,55900,0.00%
2025-05-28 23:18:51,005930,삼성전자,55900,0.00%
